Produktname,Bestellnummer,Preis (€ inkl. MwSt.),Lieferzeit,Stromart (V/Hz),Druck (bar/MPa),Fördermenge (l/h),Flächenleistung (m²/h),Zulauftemperatur (°C),Anschlussleistung (kW),Anschlusskabel (m),Farbe,Gewicht ohne Zubehör (kg),Gewicht inkl. Verpackung (kg),Abmessungen (L × B × H) (mm),Lieferumfang,Ausstattung
K 7 Premium Smart Control Flex eco!B,1.317-365.0,664.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.8,24.4,459 x 330 x 669,"G 180 Q Smart Control, Multi Jet 3-in-1, eco!Booster, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Teleskopgriff, Integrierter Wasserfilter"
K 7 Premium Smart Control Flex Home,1.317-363.0,694.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.8,25.6,459 x 330 x 669,"Home Kit: Flächenreiniger T 7, Stein- und Fassadenreiniger 1l, G 180 Q Smart Control, Multi Jet 3-in-1, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Integrierte HD-Schlauchtrommel, Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Teleskopgriff, Wassergekühlter Motor, Integrierter Wasserfilter, Bluetooth-App-Verbindung"
K 7 Premium Power Flex,1.317-320.0, ,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.8,22.2,459 x 330 x 669,"G 180 Q, Dreckfräser, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Vario Power Jet, Integrierte HD-Schlauchtrommel, Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Teleskopgriff, Wassergekühlter Motor, Integrierter Wasserfilter"
K 7 Premium Power Flex Home,1.317-322.0,624.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.8,25.4,459 x 330 x 669,"Home Kit: Flächenreiniger T 7, Stein- und Fassadenreiniger 1l, G 180 Q, Dreckfräser, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Vario Power Jet, Integrierte HD-Schlauchtrommel, Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Teleskopgriff, Wassergekühlter Motor, Integrierter Wasserfilter"
K 7 Premium Smart Control Flex,1.317-360.0,624.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.8,23,459 x 330 x 669,"G 180 Q Smart Control, Multi Jet 3-in-1, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Integrierte HD-Schlauchtrommel, Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Teleskopgriff, Wassergekühlter Motor, Integrierter Wasserfilter"
K 7 Smart Control Flex eco!Booster,1.317-344.0,614.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.3,24,458 x 330 x 669,"G 180 Q Smart Control, Multi Jet 3-in-1, eco!Booster, 1 l Universalreiniger, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Integrierte HD-Schlauchtrommel, Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Teleskopgriff, Wassergekühlter Motor, Integrierter Wasserfilter"
K 7 Smart Control Flex Home,1.317-341.0,644.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.3,25.2,458 x 330 x 669,"Home Kit: Flächenreiniger T 7, Stein- und Fassadenreiniger 1l, G 180 Q Smart Control, Multi Jet 3-in-1, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Wassergekühlter Motor, Integrierter Wasserfilter, Bluetooth-App-Verbindung"
K 7 Power Flex,1.317-300.0,504.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.3,23,458 x 330 x 669,"G 180 Q, Dreckfräser, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Vario Power Jet, Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Teleskopgriff, Wassergekühlter Motor, Integrierter Wasserfilter"
K 7 Power Flex Home,1.317-302.0,574.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.3,24.9,458 x 330 x 669,"Home Kit: Flächenreiniger T 7, Stein- und Fassadenreiniger 1l, G 180 Q, Dreckfräser, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Vario Power Jet, Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Teleskopgriff, Wassergekühlter Motor, Integrierter Wasserfilter"
K 7 Smart Control Flex,1.317-340.0,574.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.3,22.6,458 x 330 x 669,"G 180 Q Smart Control, Multi Jet 3-in-1, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Teleskopgriff, Wassergekühlter Motor, Integrierter Wasserfilter, Bluetooth-App-Verbindung"
K 7 WCM Premium Home,1.317-421.0,619.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.7,24.7,369 x 394 x 946,"Home Kit: Flächenreiniger T 7, Stein- und Fassadenreiniger 1l, G 180 Q, Dreckfräser, HD-Schlauch 10 m, Adapter Gartenschlauchanschluss A3/4","Vario Power Jet, Integrierte HD-Schlauchtrommel, Ansaugschlauch, Wassergekühlter Motor, Integrierter Wasserfilter"
K 7 WCM,1.317-400.0,509.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.2,21.2,369 x 355 x 946,"G 180 Q, Dreckfräser, HD-Schlauch 10 m, Adapter Gartenschlauchanschluss A3/4","Vario Power Jet, Ansaugschlauch, Wassergekühlter Motor, Integrierter Wasserfilter"
K 7 WCM Car&Home,1.317-404.0,609.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.2,23,369 x 355 x 946,"Home Kit: Flächenreiniger T 7, Stein- und Fassadenreiniger 1l, Strahlrohrverlängerung, Autoshampoo 1l, G 180 Q, Dreckfräser, HD-Schlauch 10 m, Adapter Gartenschlauchanschluss A3/4","Schaumdüse, Vario Power Jet, Ansaugschlauch, Wassergekühlter Motor, Integrierter Wasserfilter"
K 7 WCM FJ,1.317-402.0,524.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.1,23,369 x 355 x 946,"Autoshampoo 1l, G 180 Q, Dreckfräser, HD-Schlauch 10 m, Adapter Gartenschlauchanschluss A3/4","Schaumdüse, Vario Power Jet, Ansaugschlauch, Wassergekühlter Motor, Integrierter Wasserfilter"
K 7 WCM Premium,1.317-420.0,549.99,2-3 Werktage,230 / 50,20 - max. 180 / 2 - max. 18,max. 600,60,max. 60,3,5,gelb,17.7,22.4,369 x 394 x 946,"G 180 Q, Dreckfräser, HD-Schlauch 10 m, Adapter Gartenschlauchanschluss A3/4","Vario Power Jet, Integrierte HD-Schlauchtrommel, Ansaugschlauch, Wassergekühlter Motor, Integrierter Wasserfilter"
K 5 Premium Smart Control Flex eco!Booster,1.324-687.0,539.99,3-4 Werktage,230 / 50,20 - max. 145 / 2 - max. 14.5,max. 500,40,max. 40,2.1,5,gelb,13.5,18.5,417 x 306 x 584,"G 180 Q Smart Control, Multi Jet 3-in-1, eco!Booster, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Teleskopgriff, Integrierter Wasserfilter"
K 5 Power Control Flex,1.324-700.0,389.99,3-4 Werktage,230 / 50,20 - max. 145 / 2 - max. 14.5,max. 500,40,max. 40,2.1,5,gelb,12.2,15.9,405 x 306 x 584,"G 160 Q Power Control, Vario Power Jet, Dreckfräser, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Teleskopgriff, Wassergekühlter Motor, Integrierter Wasserfilter, Wasseransaugung"
K 5 Power Control Flex Home,1.324-703.0,439.99,3-4 Werktage,230 / 50,20 - max. 145 / 2 - max. 14.5,max. 500,40,max. 40,2.1,5,gelb,12.2,18.4,405 x 306 x 584,"Home Kit: Flächenreiniger T 5, Stein- und Fassadenreiniger 1l, G 160 Q Power Control, Vario Power Jet, Dreckfräser, HD-Schlauch 10 m PremiumFlex, Adapter Gartenschlauchanschluss A3/4","Integriertes Aufbewahrungsnetz, Quick Connect, Plug 'n' Clean-System, Teleskopgriff, Wassergekühlter Motor, Integrierter Wasserfilter"
K 5 WCM,1.324-400.0,364.99,3-4 Werktage,230 / 50,20 - max. 145 / 2 - max. 14.5,max. 500,40,max. 40,2.1,5,gelb,12.5,15.9,369 x 329 x 901,"G 180 Q, Vario Power Jet, Dreckfräser, HD-Schlauch 8 m, Adapter Gartenschlauchanschluss A3/4","Ansaugschlauch, Wassergekühlter Motor, Integrierter Wasserfilter, Wasseransaugung"
K 5 WCM Premium,1.324-460.0,404.99,3-4 Werktage,230 / 50,20 - max. 145 / 2 - max. 14.5,max. 500,40,max. 40,2.1,5,gelb,13,17.3,369 x 389 x 901,"G 180 Q, Vario Power Jet, Dreckfräser, HD-Schlauch 8 m, Adapter Gartenschlauchanschluss A3/4","Integrierte HD-Schlauchtrommel, Ansaugschlauch, Wassergekühlter Motor, Integrierter Wasserfilter, Wasseransaugung"
K 5 WCM Premium Home,1.324-462.0,454.99,3-4 Werktage,230 / 50,20 - max. 145 / 2 - max. 14.5,max. 500,40,max. 40,2.1,5,gelb,13,18.5,369 x 389 x 901,"Home Kit: Flächenreiniger T 5, Stein- und Fassadenreiniger 1l, Vario Power Jet, Dreckfräser, HD-Schlauch 8 m, Adapter Gartenschlauchanschluss A3/4","Integrierte HD-Schlauchtrommel, Ansaugschlauch, Wassergekühlter Motor, Integrierter Wasserfilter, Wasseransaugung"
K 5 Classic,1.950-700.0,279.99,3-4 Werktage,220 - 240 / 50 - 60,20 - max. 145 / 2 - max. 14.5,max. 500,40,max. 40,2.1,5,gelb,5.6,8,188 x 252 x 445,"G 180 Q, Vario Power Jet, Dreckfräser, HD-Schlauch 8 m, Adapter Gartenschlauchanschluss A3/4","Quick Connect, Ansaugschlauch, Teleskopgriff, Integrierter Wasserfilter, Wasseransaugung"
K 5 Classic Car & Home,1.950-706.0,359.99,3-4 Werktage,220 - 240 / 50 - 60,20 - max. 145 / 2 - max. 14.5,max. 500,40,max. 40,2.1,5,gelb,5.6,12.4,188 x 252 x 445,"Home Kit: Flächenreiniger T 5, Stein- und Fassadenreiniger 1l, Strahlrohrverlängerung, Rotierende Waschbürste, Schaumdüse, Trockentuch, Autoshampoo 3-in-1 RM 610, G 180 Q, Vario Power Jet, Dreckfräser, HD-Schlauch 8 m, Adapter Gartenschlauchanschluss A3/4","Quick Connect, Ansaugschlauch, Teleskopgriff, Integrierter Wasserfilter, Wasseransaugung"
K 5 Classic Home,1.950-702.0,329.99,3-4 Werktage,220 - 240 / 50 - 60,20 - max. 145 / 2 - max. 14.5,max. 500,40,max. 40,2.1,5,gelb,5.6,10.2,188 x 252 x 445,"Home Kit: Flächenreiniger T 5, Stein- und Fassadenreiniger 1l, G 180 Q, Vario Power Jet, Dreckfräser, HD-Schlauch 8 m, Adapter Gartenschlauchanschluss A3/4","Quick Connect, Ansaugschlauch, Teleskopgriff, Integrierter Wasserfilter, Wasseransaugung"
